,name,scores_avg
682,Baldur's Gate: Siege of Dragonspear,77.0
683,Balls of Fury,62.0
684,Band Hero,74.0
685,Band of Bugs,68.0
686,Bandfuse: Rock Legends,73.0
687,Bang Bang Racing,58.0
688,Bangai-O HD: Missile Fury,78.0
689,Bangai-O Spirits,83.0
690,Banished,73.0
691,Banjo-Kazooie,77.0
692,Banjo-Kazooie: Nuts & Bolts,79.0
693,Banjo-Pilot,68.0
694,Banjo-Tooie,73.0
695,Bankshot Billiards 2,65.0
696,Banner of the Maid,69.5
697,Barnyard,61.333333333333336
698,Baroque,50.0
699,Barrow Hill: Curse of the Ancient Circle,65.0
700,Bartlow's Dread Machine,73.0
701,Baseball Mogul 2007,78.0
702,Baseball Mogul 2008,74.0
703,Baseball Riot,56.5
704,Basement Crawl,27.0
705,Bastion,87.75
706,Batbarian: Testament of the Primordials,82.0
707,Baten Kaitos Origins,75.0
708,Batman Begins,65.0
709,Batman: Arkham Asylum,91.33333333333333
710,Batman: Arkham City,93.66666666666667
711,Batman: Arkham City - Armored Edition,85.0
712,Batman: Arkham City - Harley Quinn's Revenge,72.0
713,Batman: Arkham Knight,80.66666666666667
714,Batman: Arkham Knight - A Matter of Family,61.5
715,Batman: Arkham Origins,74.66666666666667
716,"Batman: Arkham Origins - Cold, Cold Heart",71.0
717,Batman: Arkham Origins Blackgate,64.5
718,Batman: Arkham Origins Blackgate - Deluxe Edition,60.666666666666664
719,Batman: Arkham VR,74.0
720,Batman: Return to Arkham,73.0
721,Batman: The Brave and the Bold - The Videogame,72.0
722,Batman: The Enemy Within - Episode 1: The Enigma,74.33333333333333
723,Batman: The Enemy Within - Episode 2: The Pact,69.0
724,Batman: The Enemy Within - Episode 3: The Fractured Mask,70.5
725,Batman: The Enemy Within - Episode 4: What Ails You,77.0
726,Batman: The Enemy Within - Episode 5: Same Stitch,85.0
727,Batman: The Enemy Within - The Telltale Series,79.0
728,Batman: The Telltale Series,68.0
729,Batman: The Telltale Series - Episode 1: Realm of Shadows,69.66666666666667
730,Batman: The Telltale Series - Episode 2: Children of Arkham,74.0
731,Batman: The Telltale Series - Episode 3: New World Order,73.33333333333333
732,Batman: The Telltale Series - Episode 4: Guardian of Gotham,73.66666666666667
733,Batman: The Telltale Series - Episode 5: City of Light,72.66666666666667
734,Battalion Wars,76.0
735,Battalion Wars 2,75.0
736,Battle Brothers,77.0
737,Battle Chasers: Nightwar,79.25
738,Battle Chef Brigade,82.0
739,Battle Fantasia,69.0
740,Battle Princess Madelyn,67.5
741,Battle Princess of Arcadias,69.0
